"id","canonicalName","aliases","category","relation","bookPortrayal","printedPages","chapterNumber","chapterTitle","evidenceLocation","sourceGroundedRole","bookPrintedUrl","projectId"
"UKC-08-003","Screenwriters Federation of America","","professional association","enabler","operating at book date","221","8","How to Build a Commons: Is Intellectual Property Constrictive, Facilitating, or Irrelevant?","narrative","Professional rules help resolve attribution and ownership.","","PC-0288"
"UKC-08-004","Directors Guild of America","","professional association","enabler","operating at book date","221","8","How to Build a Commons: Is Intellectual Property Constrictive, Facilitating, or Irrelevant?","narrative","Professional rules help resolve attribution and ownership.","","PC-0086"
"UKC-08-005","Screen Actors Guild","","professional association","enabler","operating at book date","221","8","How to Build a Commons: Is Intellectual Property Constrictive, Facilitating, or Irrelevant?","narrative","Professional rules help resolve attribution and ownership.","","PC-0287"
"UKC-08-006","Work Projects Administration state guides","WPA guides","public cultural-knowledge project","direct","operating at book date","232-233","8","How to Build a Commons: Is Intellectual Property Constrictive, Facilitating, or Irrelevant?","narrative","Government-produced regional guides documenting state history and culture.","","PC-0336"
"UKC-08-007","United States Holocaust Memorial Museum","Holocaust Museum","cultural memory institution","direct","operating at book date","233","8","How to Build a Commons: Is Intellectual Property Constrictive, Facilitating, or Irrelevant?","narrative","Public cultural institution used as an example of preserving minority history.","","PC-0315"
"UKC-08-008","Native American Graves Protection and Repatriation Act","NAGPRA","cultural-governance infrastructure","enabler","operating at book date","233-234","8","How to Build a Commons: Is Intellectual Property Constrictive, Facilitating, or Irrelevant?","narrative","Legal infrastructure for repatriating and preserving cultural artifacts.","","PC-0211"
"UKC-08-009","Napster","","peer-to-peer file-sharing service","analogy","historical service","237-238, 243","8","How to Build a Commons: Is Intellectual Property Constrictive, Facilitating, or Irrelevant?","narrative","File-sharing system used to analyze technological commons, markets, and fair use.","","PC-0196"
"UKC-08-010","Grokster","","peer-to-peer file-sharing service","analogy","historical service","235-238, 243","8","How to Build a Commons: Is Intellectual Property Constrictive, Facilitating, or Irrelevant?","narrative","File-sharing service and litigation used to analyze copying-technology governance.","","PC-0136"
"UKC-08-011","Sony Betamax/VCR platform","","copying technology","analogy","operating at book date","236-237","8","How to Build a Commons: Is Intellectual Property Constrictive, Facilitating, or Irrelevant?","narrative","Copying technology establishing the substantial-noninfringing-use framework.","","PC-0296"
"UKC-08-012","Food and Drug Administration approval system","FDA","regulatory infrastructure","enabler","operating at book date","214, 239-242","8","How to Build a Commons: Is Intellectual Property Constrictive, Facilitating, or Irrelevant?","narrative","Drug-approval system interacting with patents and experimental-use rules.","","PC-0120"
"UKC-08-013","Bolar Amendment","","research-use legislation","enabler","enacted law","239-242","8","How to Build a Commons: Is Intellectual Property Constrictive, Facilitating, or Irrelevant?","narrative","Permits research connected to generic-drug approval before patent expiration.","","PC-0037"
"UKC-08-014","Scripps research program in Merck v. Integra","","scientific research program","example","operating at book date","239-242","8","How to Build a Commons: Is Intellectual Property Constrictive, Facilitating, or Irrelevant?","narrative","Cancer-research work used to test the boundaries of experimental use.","","PC-0289"
"UKC-08-015","MGM v. Grokster","","legal case shaping digital infrastructure","enabler","completed litigation","235-238, 243","8","How to Build a Commons: Is Intellectual Property Constrictive, Facilitating, or Irrelevant?","narrative","Supreme Court case governing liability for file-sharing technologies.","","PC-0190"
"UKC-08-016","Merck v. Integra","","legal case shaping science infrastructure","enabler","completed litigation","214, 239-242","8","How to Build a Commons: Is Intellectual Property Constrictive, Facilitating, or Irrelevant?","narrative","Patent case defining experimental use in pharmaceutical research.","","PC-0189"
"UKC-09-001","Prince George's Information Commons","","civic information commons","direct","operating at book date","249, 254-255, 264, 268-269","9","Collective Action, Civic Engagement, and the Knowledge Commons","narrative","Youth-centered associational commons producing public local research and digital artifacts.","","PC-0254"
"UKC-09-002","Prince George's geography-and-obesity mapping project","","civic research and mapping project","direct","operating at book date","248-249","9","Collective Action, Civic Engagement, and the Knowledge Commons","narrative","Youth-led field data, analytical maps, and public website on geography and health.","","PC-0253"
"UKC-09-003","Prince George's school-desegregation deliberative website","","civic history and deliberation project","direct","operating at book date","249","9","Collective Action, Civic Engagement, and the Knowledge Commons","narrative","Youth oral-history and deliberation website about school desegregation.","","PC-0255"
"UKC-09-004","Prince George's community-assets mapping project","","civic mapping project","direct","operating at book date","249","9","Collective Action, Civic Engagement, and the Knowledge Commons","narrative","Resident interviews and public maps documenting community assets.","","PC-0252"
"UKC-09-005","St. Paul Information Commons","","civic information commons","direct","operating at book date","249","9","Collective Action, Civic Engagement, and the Knowledge Commons","narrative","University of Minnesota-connected partner to the Prince George's commons.","","PC-0300"
"UKC-09-006","Google search engine","","search commons","example","operating at book date","252-253","9","Collective Action, Civic Engagement, and the Knowledge Commons","narrative","Corporate search service treated as a commons while access remained unpriced.","","PC-0133"
"UKC-09-007","Amazon one-click purchasing method","","proprietary business-method system","analogy","operating at book date","252","9","Collective Action, Civic Engagement, and the Knowledge Commons","narrative","Enclosure example showing patented reuse restrictions.","","PC-0003"
"UKC-09-008","Pew Internet and American Life Project","","internet research project","enabler","operating at book date","258, 264, 272, 274","9","Collective Action, Civic Engagement, and the Knowledge Commons","narrative","Produces evidence on online content creation and community participation.","","PC-0245"
"UKC-09-009","San Diego Dialogue","","university-community research initiative","direct","operating at book date","262","9","Collective Action, Civic Engagement, and the Knowledge Commons","narrative","UC San Diego-supported initiative producing sophisticated local policy research.","http://www.sandiegodialogue.org","PC-0276"
"UKC-09-010","Engaged University Initiative","","university civic-engagement initiative","direct","operating at book date","268","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","Democracy Collaborative initiative under which Prince George's projects operated.","","PC-0107"
"UKC-09-011","Democracy Collaborative","","civic research and action organization","enabler","operating at book date","268-269","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","Organizational home for the Engaged University Initiative and electronic-commons work.","http://www.democracycollaborative.org/publications/reports/","PC-0078"
"UKC-09-012","National Geographic Education Foundation","","foundation and funder","enabler","operating at book date","268","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","Funded the Prince George's geography-and-obesity project.","","PC-0201"
"UKC-09-013","CIRCLE","Center for Information and Research on Civic Learning and Engagement","civic research center","enabler","operating at book date","268, 272, 275","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","Civic-learning research center connected to project leadership and civic-health data.","http://www.civicyouth.org","PC-0050"
"UKC-09-014","Earth Force","","youth environmental research program","direct","operating at book date","269","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","Program involving students in environmental research and political action.","http://www.earthforce.org/resources.cfm","PC-0092"
"UKC-09-015","Civic Extension for the Information Age","","civic knowledge strategy","enabler","operating at book date","269-270","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","White-paper strategy for university-supported public knowledge infrastructure.","http://www.si.umich.edu/~presnick/papers/civicextension/","PC-0053"
"UKC-09-016","Child Trends Databank","","social-data resource","enabler","operating at book date","271","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","Online databank used for youth civic and religious-participation evidence.","http://www.childtrendsdatabank.org/","PC-0049"
"UKC-09-017","American National Election Study","","public opinion dataset","enabler","operating at book date","271","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","Longitudinal election data used to assess youth attention to public affairs.","","PC-0012"
"UKC-09-018","Monitoring the Future","","longitudinal youth survey","enabler","operating at book date","271","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","Youth trend dataset used for trust, association, and participation evidence.","","PC-0193"
"UKC-09-019","National Education Longitudinal Study","NELS","education dataset","enabler","operating at book date","258","9","Collective Action, Civic Engagement, and the Knowledge Commons","narrative","National dataset used to analyze youth digital participation and inequality.","","PC-0200"
"UKC-09-020","National Assessment of Educational Progress","NAEP","education assessment dataset","enabler","operating at book date","272","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","National mathematics assessment used to compare forms of classroom computer use.","","PC-0198"
"UKC-09-021","Wingspread Declaration on the Civic Responsibilities of Research Universities","","civic-university declaration","enabler","completed declaration","272","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","Declaration defining universities' civic responsibilities.","http://www.compact.org/civic/Wingspread/Wingspread.html","PC-0335"
"UKC-09-022","Campus Compact","","civic-university network","enabler","operating at book date","272","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","Network hosting the Wingspread Declaration.","","PC-0042"
"UKC-09-023","Higher Education: Civic Mission and Civic Effects","","civic higher-education project","enabler","operating at book date","272","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","Carnegie Foundation and CIRCLE initiative on higher education's civic role.","http://www.civicyouth.org/research/areas/higher_ed.htm","PC-0139"
"UKC-09-024","Workshop in Political Theory and Policy Analysis","","research center","enabler","operating at book date","268-269, 273","9","Collective Action, Civic Engagement, and the Knowledge Commons","narrative","Commons-research center supporting the chapter and field-based institutional research.","","PC-0337"
"UKC-09-025","Center for the Study of Institutions, Population, and Environmental Change","CIPEC","research center","enabler","operating at book date","273","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","Research center producing field-based commons datasets.","","PC-0047"
"UKC-09-026","Database of 127 common-pool irrigation systems in Nepal","","commons research database","direct","operating at book date","273","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","Comparative dataset of self-governing irrigation systems.","","PC-0072"
"UKC-09-027","Center for Democracy and Citizenship","","civic research center","enabler","operating at book date","274","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","University of Minnesota center supporting public-work theory and practice.","","PC-0044"
"UKC-09-028","Asset-Based Community Development Institute","ABCD Institute","community-development institute","enabler","operating at book date","274","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","Northwestern institute developing asset-based local community methods.","","PC-0023"
"UKC-09-029","Online Communities Survey","","internet-community dataset","enabler","operating at book date","274","9","Collective Action, Civic Engagement, and the Knowledge Commons","note","Pew survey measuring local and national online group participation.","http://www.pewinternet.org","PC-0222"
"UKC-10-001","SourceForge.net","","open-source project hosting platform","direct","operating at book date","278, 287, 308","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Hosts FOSS projects and supplies communication and version-control infrastructure.","http://www.sourceforge.net","PC-0297"
"UKC-10-002","Linux","","open-source operating system","direct","operating at book date","278, 284-287, 298","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Major FOSS commons and example of modular, governed collaborative production.","","PC-0177"
"UKC-10-003","Apache Web Server","","open-source web server","direct","operating at book date","278, 284","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Major successful FOSS project.","","PC-0016"
"UKC-10-004","PHP","Php","open-source programming language","direct","operating at book date","278-279","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Successful FOSS scripting-language project.","","PC-0248"
"UKC-10-005","MySQL","","open-source database software","direct","operating at book date","278-279","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Successful FOSS relational-database project.","","PC-0195"
"UKC-10-006","Firefox","","open-source web browser","direct","operating at book date","278-279","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Successful FOSS browser project.","","PC-0118"
"UKC-10-007","OpenOffice","","open-source office suite","direct","operating at book date","279, 286","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Successful enterprise FOSS office-suite project.","","PC-0239"
"UKC-10-008","GNU Project","","free-software operating-system project","direct","operating at book date","281-282","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Stallman's operating-system project that initiated the Free/Libre software movement.","","PC-0128"
"UKC-10-009","GNU General Public License","GPL","open-source software license","enabler","operating at book date","282-283, 295, 305","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Copyleft license preserving use, modification, distribution, and derivative-work freedoms.","http://www.fsf.org/copyleft/gpl.html","PC-0127"
"UKC-10-010","Free Software Foundation","FSF","free-software organization","enabler","operating at book date","282-285, 305","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Institutional advocate and steward for GNU and software freedom.","http://www.gnu.org/","PC-0123"
"UKC-10-011","Open Source Initiative","OSI","open-source standards organization","enabler","operating at book date","282-283","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Certifies licenses against the Open Source Definition.","http://www.opensource.org","PC-0236"
"UKC-10-012","Open Source Definition","OSD","open-source licensing standard","enabler","operating at book date","282-283","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Rules determining whether software qualifies for OSI certification.","","PC-0235"
"UKC-10-013","Mozilla","","open-source web-browser project","example","operating at book date","286","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Early browser project used to show how tangled code obstructs collaboration.","","PC-0194"
"UKC-10-014","Perl","","open-source programming language","example","operating at book date","287","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Successful modular FOSS programming-language project.","","PC-0244"
"UKC-10-015","Concurrent Versioning System","CVS","version-control infrastructure","enabler","operating at book date","287-288","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Archives versions, controls submissions, records changes, and operationalizes project rules.","","PC-0062"
"UKC-10-016","UrbanSim","","open-source urban-modeling system","direct","operating at book date","290","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Modular Java model for urban land use, transportation, and environmental impacts.","","PC-0327"
"UKC-10-017","GNU Free Documentation License","GFDL","open-content license","enabler","operating at book date","291-293","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Copyleft license extending software freedoms to documentation and other text.","http://www.fsf.org/copyleft/fdl.html","PC-0126"
"UKC-10-018","Creative Commons","","open-content licensing organization","enabler","operating at book date","291-295, 302, 304","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Modular licenses for sharing music, art, video, text, and educational materials.","http://creativecommons.org","PC-0069"
"UKC-10-019","Science Commons","","open-science project","direct","operating at book date","292, 308","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Project for OA publications, standard scientific licenses, and data sharing.","http://science.creativecommons.org/","PC-0284"
"UKC-10-020","FreeBSD","","open-source operating system","direct","operating at book date","298","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","FOSS project governed by an elected nine-member developer team.","","PC-0124"
"UKC-10-021","Open Journal Systems","OJS","open-source journal-management software","enabler","operating at book date","300, 303, 307","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Free journal-management software used to estimate and lower e-journal infrastructure costs.","http://www.pkp.ubc.ca/ojs/","PC-0231"
"UKC-10-022","ESRI Virtual Campus","","online learning platform","analogy","operating at book date","301","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Proprietary distance-learning service used as a revenue-model example.","http://campus.esri.com","PC-0113"
"UKC-10-023","Drupal","","open-source content-management system","enabler","operating at book date","301","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","FOSS content-management scaffolding for open-content collaboration.","","PC-0089"
"UKC-10-024","DSpace","","open-source repository software","enabler","operating at book date","301","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","FOSS repository scaffolding for open-content collaboration.","","PC-0090"
"UKC-10-025","OpenSourceCMS.com","","open-source software directory and demonstration site","enabler","operating at book date","301","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","narrative","Discovery source for open-source content-management packages.","http://opensourcecms.com","PC-0240"
"UKC-10-026","Public Knowledge Project","","open-publishing infrastructure project","direct","operating at book date","303","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","note","Project cataloging and developing open-source e-journal management software.","http://pkp.ubc.ca/ojs/other_OJS.html","PC-0262"
"UKC-10-027","Article System","","open-source journal-management software","enabler","operating at book date","303","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","note","Open-source system for managing e-journal publication.","http://artsys.sourceforge.net/","PC-0019"
"UKC-10-028","efirst XML","","open-source journal-management software","enabler","operating at book date","303","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","note","XML-based open-source e-journal infrastructure.","http://www.openly.com/efirst/","PC-0103"
"UKC-10-029","Zope","","open-source application and portal platform","enabler","operating at book date","303","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","note","Open-source platform for content-management systems and Internet portals.","http://zope.org","PC-0346"
"UKC-10-030","Open-source development of land-use/land-cover change models workshop","","open-science workshop","direct","completed workshop","303","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","note","Workshop testing open-source collaboration for land-use and land-cover models.","http://www.lulc.org/bcworkshop_2003/os_lulc_workshop_report_2003.pdf","PC-0238"
"UKC-10-031","NSF Biocomplexity Program","","science funding program","enabler","operating at book date","303","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","note","Sponsored the land-use and land-cover open-source workshop.","","PC-0214"
"UKC-10-032","USDA Forest Service Burlington Laboratory","","research laboratory","enabler","operating at book date","303","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","note","Supported the land-use commons work discussed in the chapter.","","PC-0328"
"UKC-10-033","USDA Forest Service Southern and Northern Global Change Programs","","science programs","enabler","operating at book date","303","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","note","Supported research underlying the chapter's open-science model.","","PC-0329"
"UKC-10-034","Massachusetts Agriculture Experiment Station project MAS00847","","research project","enabler","operating at book date","303","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","note","Supported research underlying the chapter's open-science model.","","PC-0183"
"UKC-10-035","Open Source/Content Landcover Change Modeling Effort","","open-science modeling project","direct","operating at book date","308","10","Free/Open-Source Software as a Framework for Establishing Commons in Science","reference","Named effort applying open-source and open-content methods to land-cover models.","http://www.lulc.org/bcworkshop_2003/os_lulc_workshop_report_2003.pdf","PC-0237"
"UKC-11-001","Open Knowledge Initiative","OKI","open learning-technology initiative","direct","operating at book date","315","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Shared learning technologies outside formal commercial distribution.","","PC-0232"
"UKC-11-002","Open Archives Initiative","OAI","repository interoperability initiative","direct","operating at book date","315","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Community response to constraints of commercial journal publishing.","","PC-0227"
"UKC-11-003","RePEc","","disciplinary research repository network","direct","operating at book date","316, 330","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Economics working-paper and research discovery network.","http://www.repec.org/","PC-0270"
"UKC-11-004","Social Science Research Network","SSRN","disciplinary research repository network","direct","operating at book date","316","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Aggregates working papers and published articles across social-science disciplines.","","PC-0294"
"UKC-11-005","Living Reviews","","dynamic peer-reviewed journal model","direct","operating at book date","316","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Max Planck online-only publication supporting continual author revision.","","PC-0178"
"UKC-11-006","Max Planck Institute","","research institute and publishing steward","enabler","operating at book date","316","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Created and maintains the Living Reviews dynamic-publication model.","","PC-0184"
"UKC-11-007","Into the Blogosphere","","scholarly blog collection","direct","operating at book date","316, 330","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Example of cumulating scholarly commentary in blog form.","http://blog.lib.umn.edu/blogosphere/","PC-0156"
"UKC-11-008","Signal Transduction Knowledge Environment","STKE","compound scholarly knowledge environment","direct","operating at book date","317, 330","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","AAAS environment combining journal, alerts, dialogue, and analytic tools.","http://stke.sciencemag.org/","PC-0292"
"UKC-11-009","American Association for the Advancement of Science","AAAS","scientific association and publishing steward","enabler","operating at book date","317","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Publishes and governs the Signal Transduction Knowledge Environment.","","PC-0007"
"UKC-11-010","The Valley of the Shadow","","digital history library","direct","operating at book date","317","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Civil War primary-source and tool environment resembling a library more than a monograph.","","PC-0307"
"UKC-11-011","University of Virginia","","university and digital-project steward","enabler","operating at book date","317, 326","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Hosts The Valley of the Shadow and library-centered disciplinary information communities.","","PC-0324"
"UKC-11-012","arXiv","","disciplinary e-print archive","direct","operating at book date","317-318","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Physics e-print environment shaped by disciplinary norms and central leadership.","","PC-0022"
"UKC-11-013","H-Net","","scholarly discussion network","direct","operating at book date","320","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","History network offering dialogue and disciplinary community recognition.","","PC-0137"
"UKC-11-014","Scholarly Publishing and Academic Resources Coalition","SPARC","scholarly-communication coalition","enabler","operating at book date","320","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Organization used as an example of institutions stimulating change.","","PC-0278"
"UKC-11-015","DSpace","","institutional repository software","direct","operating at book date","322","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Library repository service extending stewardship earlier in scholarly communication.","","PC-0090"
"UKC-11-016","California Digital Library","","digital library system","direct","operating at book date","322","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Institutional digital-library and repository service.","","PC-0040"
"UKC-11-017","HighWire Press","","library-based scholarly publishing service","direct","operating at book date","322","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Stanford service distributing society publications.","","PC-0140"
"UKC-11-018","Scholarly Publishing Office","University of Michigan Scholarly Publishing Office","library publishing service","direct","operating at book date","322","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","University of Michigan service providing tools and production support.","","PC-0279"
"UKC-11-019","Digital Consulting and Production Services","Cornell Digital Consulting and Production Services","library digital-production service","direct","operating at book date","322","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Cornell service bureau supplying digital production expertise and tools.","","PC-0080"
"UKC-11-020","ACLS History E-Book project","","digital-book project","direct","operating at book date","322","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","History e-book production project supported by Michigan's library publishing service.","","PC-0001"
"UKC-11-021","Project Euclid","","disciplinary publishing platform","direct","operating at book date","322","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Cornell-publisher partnership for interoperable mathematics and statistics publication.","","PC-0256"
"UKC-11-022","Digital Library Federation Aquifer project","Aquifer Project | DLF Aquifer","federated digital-library project","direct","operating at book date","324-325, 330","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Develops protocols and rules for repurposing rich digital masters across institutions.","http://www.diglib.org/aquifer/","PC-0082"
"UKC-11-023","W3C Semantic Web","","semantic interoperability infrastructure","enabler","operating at book date","324","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Metadata and relationship framework enabling cross-resource discovery and collaboration.","","PC-0331"
"UKC-11-024","University of Virginia American Studies information community","","disciplinary information community","direct","operating at book date","326","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Library-centered community integrating resources, tools, events, and participant projects.","","PC-0325"
"UKC-11-025","University of Virginia Tibetan and Himalayan information community","","disciplinary information community","direct","operating at book date","326","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Library-centered community integrating resources, tools, events, and participant projects.","","PC-0326"
"UKC-11-026","Space Physics and Aeronomy Research Collaboratory","SPARC","scientific collaboratory","direct","operating at book date","326-327, 330","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Online atmospheric-science environment controlling instruments, analyzing data, and archiving research.","http://www.windows.ucar.edu/sparc/","PC-0298"
"UKC-11-027","UCSB Campus Informatics","","campus research-informatics initiative","direct","operating at book date","328, 330","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Investigates research needs and behavior to design data-intensive services and archives.","http://www.cni.org/tfms/2004a.spring/abstracts/PB-ucsb-pritchard.html","PC-0313"
"UKC-11-028","Andrew W. Mellon Foundation","","foundation and funder","enabler","operating at book date","328","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Sponsored scholarly-communication institutes and campus research-behavior projects.","","PC-0013"
"UKC-11-029","University of Minnesota Libraries research-behavior project","","library research project","direct","newly funded at book date","328, 330","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Assesses disciplinary research behavior to integrate expertise, technology, content, and facilities.","http://www.lib.umn.edu/about/mellon/","PC-0322"
"UKC-11-030","Digital Library Federation","DLF","digital-library federation","enabler","operating at book date","324, 329","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Coordinates digital-library capacity, partnerships, and federated governance.","","PC-0081"
"UKC-11-031","OCLC Environmental Scan","","library environmental-scan project","enabler","operating at book date","329","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Sector scan prompting cross-organizational rethinking of structured information access.","","PC-0220"
"UKC-11-032","NSF Digital Library Initiatives","","digital-library research program","enabler","operating at book date","330","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","note","Funded digital-library testbeds that moved toward operational settings.","","PC-0215"
"UKC-11-033","American Council of Learned Societies digital-resource pilots","ACLS","scholarly digital-resource program","enabler","operating at book date","319","11","Scholarly Communication and Libraries Unbound: The Opportunity of the Commons","narrative","Pilot efforts to validate and organize humanities digital resources.","","PC-0008"
"UKC-12-001","EconPort","","open-access digital library and virtual laboratory","direct","operating at book date","333-347","12","EconPort: Creating and Maintaining a Knowledge Commons","narrative","Microeconomics portal, archive, repository, handbook, glossary, and online experiment laboratory.","http://www.econport.org","PC-0094"
"UKC-12-002","Economic Science Laboratory","ESL","experimental economics laboratory","enabler","operating at book date","333, 335, 337, 341-346","12","EconPort: Creating and Maintaining a Knowledge Commons","narrative","Created EconPort's economics content and software and supplied its sustainability base.","http://www.econlab.arizona.edu","PC-0093"
"UKC-12-003","Artificial Intelligence Lab","AI Lab","information-technology laboratory","enabler","operating at book date","333, 341-344","12","EconPort: Creating and Maintaining a Knowledge Commons","narrative","Built EconPort's OAI-compliant active-object digital-library infrastructure.","http://www.ailab.arizona.edu","PC-0020"
"UKC-12-004","National Science Digital Library","NSDL","collaborative science digital library","enabler","operating at book date","333-334, 338, 340, 342, 345","12","EconPort: Creating and Maintaining a Knowledge Commons","narrative","NSF initiative funding EconPort and harvesting its OAI metadata.","http://www.nsdl.org","PC-0207"
"UKC-12-005","National Science Foundation digital library initiative","NSF digital library initiative","digital-library funding program","enabler","operating at book date","333-334","12","EconPort: Creating and Maintaining a Knowledge Commons","narrative","Federal program funding the creation of EconPort.","","PC-0209"
"UKC-12-006","Arizona Proposition 301","","public education funding initiative","enabler","enacted public initiative","333-334","12","EconPort: Creating and Maintaining a Knowledge Commons","narrative","Voter-approved tax funding technology education and EconPort's institutional conditions.","","PC-0018"
"UKC-12-007","Open Archives Initiative metadata protocol","OAI","repository interoperability protocol","enabler","operating at book date","338, 342, 345","12","EconPort: Creating and Maintaining a Knowledge Commons","narrative","Makes EconPort harvestable as an NSDL component.","","PC-0228"
"UKC-12-008","EconPort Applications Program Interface","EconPort API","software integration infrastructure","enabler","operating at book date","338, 344","12","EconPort: Creating and Maintaining a Knowledge Commons","narrative","Allows external experiment software to connect regardless of programming language.","","PC-0095"
"UKC-12-009","Econterms","","economics glossary","direct","operating at book date","340, 344","12","EconPort: Creating and Maintaining a Knowledge Commons","narrative","Externally created glossary of more than 1,300 economics terms integrated into EconPort.","","PC-0101"
"UKC-12-010","Experimental Economics Glossary","","economics glossary","direct","operating at book date","340, 344","12","EconPort: Creating and Maintaining a Knowledge Commons","narrative","University of Mannheim glossary integrated into EconPort.","","PC-0116"
"UKC-12-011","University of Mannheim Experimental Economics Laboratory","","experimental economics laboratory","enabler","operating at book date","340","12","EconPort: Creating and Maintaining a Knowledge Commons","narrative","Created the Experimental Economics Glossary used by EconPort.","","PC-0320"
"UKC-12-012","EconPort searchable portal","","discovery portal","direct","operating at book date","340, 345","12","EconPort: Creating and Maintaining a Knowledge Commons","narrative","Searches and classifies internal and external economics resources.","","PC-0100"
