"id","printed","normalized","host","nearbyProject","contextClassifications","occurrenceCount","printedPages","pdfPages","chapters","representativeText","extractionStatus","directoryDecision","currentResolutionStatus","currentUrl","editorialNotes"
"URL-0054","http://www.law.nyu.edu/benklery/commons.pdf","http://www.law.nyu.edu/benklery/commons.pdf","www.law.nyu.edu","New York University School of Law","initiative / declaration / policy","1","72","87","3 - A Framework for Analyzing the Knowledge Commons","Benkler, Yochai. 1998. “The Commons as a Neglected Factor of Information Policy,” Remarks at the Telecommunications Policy Research Conference, Sep- tember 1998. http://www.law.nyu.edu/benklery/commons.pdf. Benkler, Yochai. 2003. “The Political Economy of the Commons.” Upgrade: The European Journal for the Informatics Professional 4/3 (June): 6–10.","Book-extracted","","","",""
"URL-0055","http://www.upgrade-cepis.org/issues/2003/3/up4-3Benkler.pdf","http://www.upgrade-cepis.org/issues/2003/3/up4-3Benkler.pdf","www.upgrade-cepis.org","UPGRADE / CEPIS","article / report / publication","1","72","87","3 - A Framework for Analyzing the Knowledge Commons","Benkler, Yochai. 2003. “The Political Economy of the Commons.” Upgrade: The European Journal for the Informatics Professional 4/3 (June): 6–10. http://www.upgrade-cepis.org/issues/2003/3/up4-3Benkler.pdf. Benkler, Yochai. 2004. “Commons-Based Strategies and the Problems of Patents.” Science 305(5687):1110–1111.","Book-extracted","","","",""
"URL-0056","http://dlc.dlib.indiana.edu/documents/dir0/00/00/02/18/index.html","http://dlc.dlib.indiana.edu/documents/dir0/00/00/02/18/index.html","dlc.dlib.indiana.edu","Digital Library of the Commons","conference / workshop / event","1","72","87","3 - A Framework for Analyzing the Knowledge Commons","The Problem of Network Congestion.” Presented at the Eighth Conference of the International Association for the Study of Common Property, Bloomington, Indiana, May 31–June 4, 2000. http://dlc.dlib.indiana.edu/documents/dir0/00/ 00/02/18/index.html. Blomquist, William. 1992. Dividing the Waters: Governing Groundwater in Southern California. San Francisco: Institute for Contemporary Studies Press.","Book-extracted","","","",""
"URL-0057","http://www.aaup.org/publications/Academe/2002/02so/02sobol.htm","http://www.aaup.org/publications/Academe/2002/02so/02sobol.htm","www.aaup.org","American Association of University Professors","project / organization homepage","1","72","87","3 - A Framework for Analyzing the Knowledge Commons","Bollier, David. 2002a. “The Enclosure of the Academic Commons.” Academe 88(5):18–22. http://www.aaup.org/publications/Academe/2002/02so/02sobol .htm. Bollier, David. 2002b. Silent Theft: The Private Plunder of Our Common Wealth. New York: Routledge.","Book-extracted","","","",""
"URL-0058","http://opcit.eprints.org/feb19oa/brody-impact.pdf","http://opcit.eprints.org/feb19oa/brody-impact.pdf","opcit.eprints.org","EPrints / Open Citation Project","repository / archive / digital library","1","73","88","3 - A Framework for Analyzing the Knowledge Commons","International Meeting, Southampton, February 19, 2004. http://opcit.eprints.org/ feb19oa/brody-impact.pdf. Bromley, Daniel W. 1989. Economic Interests and Institutions: The Conceptual Foundations of Public Policy. New York: Blackwell.","Book-extracted","","","",""
"URL-0059","http://www.nsf.gov/od/lpa/nsf50/vbush1945.htm","http://www.nsf.gov/od/lpa/nsf50/vbush1945.htm","www.nsf.gov","National Science Foundation","article / report / publication","1","73","88","3 - A Framework for Analyzing the Knowledge Commons","Boston: Harvard University Press. Bush, Vannevar. 1945. Science, the Endless Frontier: A Report to the President. Washington, DC: U.S. Government Printing Office. http://www.nsf.gov/od/lpa/ nsf50/vbush1945.htm. Cardenas, Juan-Camilo. 2003. “Real Wealth and Experimental Cooperation: Experiments in the Field Lab.” Journal of Development Economics 70(2):","Book-extracted","","","",""
"URL-0060","http://video.indiana.edu:8080/ramgen/vic/blaise_cronin_20051201.rm?start=00:09:30","http://video.indiana.edu:8080/ramgen/vic/blaise_cronin_20051201.rm?start=00:09:30","video.indiana.edu","Indiana University video service","article / report / publication","1","73","88","3 - A Framework for Analyzing the Knowledge Commons","Cronin, Blaise. 2005 “On Libraries and the Digital Environment.” Presentation given at the Indiana University Herman B. Wells Library, Bloomington Campus. http://video.indiana.edu:8080/ramgen/vic/blaise_cronin_20051201.rm?start=00: 09:30. Crow, Raymond. 2002. “The Case for Institutional Repositories: A SPARC Position Paper.” Washington, DC: Scholarly Publishing & Academic Resources","Book-extracted","","","",""
"URL-0061","http://www.arl.org/sparc/IR/ir.html","http://www.arl.org/sparc/IR/ir.html","www.arl.org","Association of Research Libraries / SPARC","initiative / declaration / policy","1","73","88","3 - A Framework for Analyzing the Knowledge Commons","Crow, Raymond. 2002. “The Case for Institutional Repositories: A SPARC Position Paper.” Washington, DC: Scholarly Publishing & Academic Resources Coalition, July 2002. http://www.arl.org/sparc/IR/ir.html. Dalrymple, Dana. 2003. “Scientific Knowledge as a Global Public Good: Con- tributions to Innovation and the Economy.” In J. M. Esanu and P. F. Uhlir, eds.,","Book-extracted","","","",""
"URL-0062","http://www.nap.edu/books/030908850X/html","http://www.nap.edu/books/030908850X/html","www.nap.edu","National Academies Press","project / organization homepage","1","73","88","3 - A Framework for Analyzing the Knowledge Commons","The Role of Scientific and Technical Data and Information in the Public Domain: Proceedings of a Symposium. Washington, DC: National Academies Press. http://www.nap.edu/books/030908850X/html. Davenport, Thomas H., and Laurence Prusak. 1998. Working Knowledge: How Organizations Manage What They Know. Boston: Harvard University Press.","Book-extracted","","","",""
"URL-0063","http://ideas.repec.org/p/wpa/wuwpdc/0502010.html","http://ideas.repec.org/p/wpa/wuwpdc/0502010.html","ideas.repec.org","RePEc","initiative / declaration / policy","1","74","89","3 - A Framework for Analyzing the Knowledge Commons","Science, Intellectual Property, and the Digital Technology Boomerang.” Stanford, CA: Stanford Institute for Economic Policy Research, Stanford University. SIEPR Discussion Paper, no. 0002. http://ideas.repec.org/p/wpa/wuwpdc/ 0502010.html. Davis, Philip M. 2003. “Tragedy of the Commons Revisited: Librarians, Pub- lishers, Faculty, and the Demise of a Public Resource.” Portal 3/4 (October):","Book-extracted","","","",""
"URL-0064","http://people.cornell.edu/pages/pmd8/3.4davis.pdf","http://people.cornell.edu/pages/pmd8/3.4davis.pdf","people.cornell.edu","Cornell University","article / report / publication","1","74","89","3 - A Framework for Analyzing the Knowledge Commons","Davis, Philip M. 2003. “Tragedy of the Commons Revisited: Librarians, Pub- lishers, Faculty, and the Demise of a Public Resource.” Portal 3/4 (October): 547–562. http://people.cornell.edu/pages/pmd8/3.4davis.pdf. Dietz, Tom, Elinor Ostrom, and Paul C. Stern. 2003. “The Struggle to Govern the Commons.” Science 302 (December 12):1907–1912.","Book-extracted","","","",""
"URL-0065","http://www.nap.edu/html/issues_digital/notice.html","http://www.nap.edu/html/issues_digital/notice.html","www.nap.edu","National Academies Press","article / report / publication","1","74","89","3 - A Framework for Analyzing the Knowledge Commons","tional and Theoretical Economics 160(1):161–180. Duderstadt, James J., ed. 2001. Issues for Science and Engineering Researchers in the Digital Age. Washington, DC: National Academy Press. http://www .nap.edu/html/issues_digital/notice.html. Duderstadt, James J., Daniel E. Atkins, and Douglas Van Houweling. 2002. Higher Education in the Digital Age: Technology Issues and Strategies for Amer-","Book-extracted","","","",""
"URL-0066","http://jan.ucc.nau.edu/~rse/FederalAccess.htm","http://jan.ucc.nau.edu/~rse/FederalAccess.htm","jan.ucc.nau.edu","Northern Arizona University","license / intellectual-property resource","1","74","89","3 - A Framework for Analyzing the Knowledge Commons","ican Colleges and Universities. Westport, CT: Praeger. Evans, R. Sean, and Brad Bogus. 2004. “Federal Government Information Access in the Wake of 9/11.” http://jan.ucc.nau.edu/~rse/FederalAccess.htm. Ewing, John. 2003. “Copyright and Authors.” First Monday 8/10 (October). http://www.firstmonday.dk/issues/issue8_10/ewing/.","Book-extracted","","","",""
"URL-0067","http://www.firstmonday.dk/issues/issue8_10/ewing/","http://www.firstmonday.dk/issues/issue8_10/ewing/","www.firstmonday.dk","First Monday","license / intellectual-property resource","1","74","89","3 - A Framework for Analyzing the Knowledge Commons","in the Wake of 9/11.” http://jan.ucc.nau.edu/~rse/FederalAccess.htm. Ewing, John. 2003. “Copyright and Authors.” First Monday 8/10 (October). http://www.firstmonday.dk/issues/issue8_10/ewing/. Futrelle, Joe. “Emerging Tools for Building Integrated Scientific Data Resources.” National Center for Supercomputing Applications. http://www.ncsa.uiuc.edu/","Book-extracted","","","",""
"URL-0068","http://www.ncsa.uiuc.edu/People/futrelle/ppt/NIH0106.ppt","http://www.ncsa.uiuc.edu/People/futrelle/ppt/NIH0106.ppt","www.ncsa.uiuc.edu","National Center for Supercomputing Applications","article / report / publication","1","74","89","3 - A Framework for Analyzing the Knowledge Commons","http://www.firstmonday.dk/issues/issue8_10/ewing/. Futrelle, Joe. “Emerging Tools for Building Integrated Scientific Data Resources.” National Center for Supercomputing Applications. http://www.ncsa.uiuc.edu/ People/futrelle/ppt/NIH0106.ppt. Gibbs, W. Wayt. 1995. “Lost Science in the Third World.” Scientific American (August): 92–99.","Book-extracted","","","",""
"URL-0069","http://www.biomedcentral.com/meetings/2000/foi/editorials/ginsparg","http://www.biomedcentral.com/meetings/2000/foi/editorials/ginsparg","www.biomedcentral.com","BioMed Central","article / report / publication","1","74","89","3 - A Framework for Analyzing the Knowledge Commons","Communities, Institutions, and Governance. Cambridge, MA: MIT Press. Ginsparg, Paul. 2000. “Creating a Global Knowledge Network.” BioMed Central. http://www.biomedcentral.com/meetings/2000/foi/editorials/ginsparg. Golich, Vicki L. 1991. “A Multilateral Negotiations Challenge: International Management of the Communications Commons.” Journal of Applied Behavioral","Book-extracted","","","",""
"URL-0070","http://www.arl.org/arl/proceedings/138/guedon.html","http://www.arl.org/arl/proceedings/138/guedon.html","www.arl.org","Association of Research Libraries / SPARC","conference / workshop / event | article / report / publication","2","75, 199","90, 214","3 - A Framework for Analyzing the Knowledge Commons | 7 - Creating an Intellectual Commons through Open Access","Guédon, Jean-Claude. 2001. In Oldenburg's Long Shadow: Librarians, Research Scientists, Publishers, and the Control of Scientific Publishing. Washington, DC: Association of Research Libraries. http://www.arl.org/arl/proceedings/138/ guedon.html. Gupta, Alok, Dale O. Stahl, and Andrew B. Whinston 1995. “The Internet: A Future Tragedy of the Commons.” Presented at the Conference on Interoper-","Book-extracted","","","",""
"URL-0071","http://cism.mccombs.utexas.edu/alok/wash_pap/wash_pap.html","http://cism.mccombs.utexas.edu/alok/wash_pap/wash_pap.html","cism.mccombs.utexas.edu","University of Texas at Austin","conference / workshop / event","1","75","90","3 - A Framework for Analyzing the Knowledge Commons","Future Tragedy of the Commons.” Presented at the Conference on Interoper- ability and the Economics of Information Infrastructure, Rosslyn, Virginia, July 6–7, 1995. http://cism.mccombs.utexas.edu/alok/wash_pap/wash_pap.html. Harboe-Ree, Cathrine, Michele Sabto, and Andrew Treloar. 2003. “The Library as Digitorium: New Modes of Information Creation, Distribution and Access.”","Book-extracted","","","",""
